,precision,recall,f1-score,support
Insufficient_Weight,1.0,0.9814814814814815,0.9906542056074766,54.0
Normal_Weight,0.890625,0.9827586206896551,0.9344262295081968,58.0
Obesity_Type_I,0.9859154929577465,1.0,0.9929078014184397,70.0
Obesity_Type_II,0.9833333333333333,0.9833333333333333,0.9833333333333333,60.0
Obesity_Type_III,1.0,0.9846153846153847,0.9922480620155039,65.0
Overweight_Level_I,0.9814814814814815,0.9137931034482759,0.9464285714285714,58.0
Overweight_Level_II,1.0,0.9827586206896551,0.991304347826087,58.0
accuracy,0.9763593380614657,0.9763593380614657,0.9763593380614657,0.9763593380614657
macro avg,0.9773364725389374,0.9755343634653979,0.9759003644482299,423.0
weighted avg,0.9777689371937782,0.9763593380614657,0.9765490020362835,423.0
